cols,importance,model_name,model_target
store_세종대로점,0.0003019422265849143,RandomForest,y_weekday
store_용대로점,0.00029370371053120557,RandomForest,y_weekday
store_중앙대로2점,0.0002897159222090456,RandomForest,y_weekday
store_봉화산로점,0.0002853859051588764,RandomForest,y_weekday
store_남부순환로2점,0.00028273968319008616,RandomForest,y_weekday
store_석봉로점,0.0002769481931244038,RandomForest,y_weekday
store_한남로점,0.0002668499543571724,RandomForest,y_weekday
store_도봉로2점,0.0002620249514382676,RandomForest,y_weekday
store_한누리대로점,0.00024466067928909536,RandomForest,y_weekday
store_법원로점,0.00022294177355885328,RandomForest,y_weekday
store_사직로점,0.00012710869059151254,RandomForest,y_weekday
store_중앙대로점,9.30251147078646e-05,RandomForest,y_weekday
order_weekend,0.24754086472814493,GradientBoostingClassifier,y_weekday
order_weekday,0.22897897425410674,GradientBoostingClassifier,y_weekday
order_time_11,0.055430220222289946,GradientBoostingClassifier,y_weekday
order_takeout,0.04405862060100833,GradientBoostingClassifier,y_weekday
order_cancel,0.041054990585556346,GradientBoostingClassifier,y_weekday
order_time_15,0.03585773322814986,GradientBoostingClassifier,y_weekday
order_time_16,0.03565348737406737,GradientBoostingClassifier,y_weekday
delta_avg,0.035109142416647685,GradientBoostingClassifier,y_weekday
order_time_19,0.030645603438360255,GradientBoostingClassifier,y_weekday
order_time_12,0.028542606322794716,GradientBoostingClassifier,y_weekday
order_time_17,0.027426194622702214,GradientBoostingClassifier,y_weekday
order,0.027364496463355176,GradientBoostingClassifier,y_weekday
order_time_14,0.02420781326743352,GradientBoostingClassifier,y_weekday
order_time_13,0.02241062058694689,GradientBoostingClassifier,y_weekday
order_time_21,0.02164509004657119,GradientBoostingClassifier,y_weekday
order_time_20,0.020377639717006617,GradientBoostingClassifier,y_weekday
order_time_18,0.01834541339654101,GradientBoostingClassifier,y_weekday
order_fin,0.016011491218458893,GradientBoostingClassifier,y_weekday
order_delivery,0.007924935566682912,GradientBoostingClassifier,y_weekday
store_보문로2점,0.004791861349208922,GradientBoostingClassifier,y_weekday
store_창경궁로점,0.0025070672067482734,GradientBoostingClassifier,y_weekday
store_종로2점,0.0019822153834042552,GradientBoostingClassifier,y_weekday
store_민락수변로점,0.0019725357232699384,GradientBoostingClassifier,y_weekday
store_강남점3점,0.0018443612792101698,GradientBoostingClassifier,y_weekday
store_무교로점,0.0018357248869472326,GradientBoostingClassifier,y_weekday
store_문예회관길점,0.0013032879316086064,GradientBoostingClassifier,y_weekday
store_녹사평대로2점,0.0012604005869409614,GradientBoostingClassifier,y_weekday
store_시흥대로점,0.0012292163529983937,GradientBoostingClassifier,y_weekday
store_명지동점,0.0010900761909594867,GradientBoostingClassifier,y_weekday
store_천호대로점,0.001020705246128083,GradientBoostingClassifier,y_weekday
store_효원로점,0.0009685180270988746,GradientBoostingClassifier,y_weekday
store_덕수궁길2점,0.0009623962772019586,GradientBoostingClassifier,y_weekday
store_자양로점,0.0008961647478998919,GradientBoostingClassifier,y_weekday
store_송정공원로점,0.0008961382281167539,GradientBoostingClassifier,y_weekday
store_학동로2점,0.0008802205646003433,GradientBoostingClassifier,y_weekday
store_올림픽로점,0.0008358880474550866,GradientBoostingClassifier,y_weekday
store_연희로2점,0.0008341890453143997,GradientBoostingClassifier,y_weekday
store_삼봉로2점,0.000802405234454985,GradientBoostingClassifier,y_weekday
store_사직로점,0.0007406432289685009,GradientBoostingClassifier,y_weekday
store_올림픽로2점,0.0006903852651676826,GradientBoostingClassifier,y_weekday
store_월드컵로2점,0.000648655057695062,GradientBoostingClassifier,y_weekday
store_장동로점,0.0004314023673765679,GradientBoostingClassifier,y_weekday
store_하신중앙로점,0.00033470980259866205,GradientBoostingClassifier,y_weekday
store_목공동로2점,0.00029983299891335154,GradientBoostingClassifier,y_weekday
store_해운대해변로점,0.00029752619294566747,GradientBoostingClassifier,y_weekday
store_엑스포로점,5.753471994340287e-05,GradientBoostingClassifier,y_weekday
store_용대로점,0.0,GradientBoostingClassifier,y_weekday
store_용아로점,0.0,GradientBoostingClassifier,y_weekday
store_성산동점,0.0,GradientBoostingClassifier,y_weekday
store_용운동점,0.0,GradientBoostingClassifier,y_weekday
store_우치로점,0.0,GradientBoostingClassifier,y_weekday
store_월계로2점,0.0,GradientBoostingClassifier,y_weekday
